ticker,earnings_date,spectral_entropy,dominant_frequency,dominant_power,cumulative_abnormal_return,day1_abnormal_return,pre_window_size,post_window_size,lm_polarity,lm_subjectivity
AAPL,2023-02-02,2.4818720610544163,0.36666666666666664,0.21300431516971247,0.044024417167547625,0.021940481219097478,30,5,0.1166666661805555,0.0707547169602727
AAPL,2022-10-27,2.326784524139062,0.2,0.27220568334361894,-0.010458590033680198,-0.025584838814286172,30,5,0.2915129140534578,0.0805828129406533
AAPL,2022-07-28,2.446928291037239,0.0,0.16995838320025658,0.024972157739035834,-0.008899163110927895,30,5,0.1063829782707107,0.0701283198835785
AAPL,2022-04-28,2.2194140715969857,0.3,0.25256841662399326,0.030741566146692136,0.019219948471818325,30,5,0.0952380948601663,0.0735122520205623
AAPL,2022-01-27,2.5274425517232864,0.43333333333333335,0.15885996014444262,0.042506381550102716,0.0020030812338886774,30,5,0.1718749993286132,0.0765550239005517
AAPL,2021-10-28,2.3950851703839726,0.16666666666666666,0.13996775957755248,-0.005889275781451224,0.015081777482450136,30,5,0.1592920346933981,0.0609328659851893
AAPL,2021-07-27,2.290218185129154,0.0,0.2688118013914909,-0.01575769258394193,-0.010444349206408248,30,5,0.2919708018541211,0.0770095559086538
AAPL,2021-04-28,2.383172669673426,0.5,0.25902441426914713,-0.045326872892054615,-0.005757939031058562,30,5,0.175999999296,0.0716743119060566
AAPL,2021-01-27,2.311011477030059,0.26666666666666666,0.20865415956984523,-0.05290855463967904,0.017030650736303277,30,5,0.2334801751829067,0.066180757998198
AAPL,2020-10-29,2.407506250599564,0.43333333333333335,0.2019036603669103,-0.017216604426055274,0.026268446066337534,30,5,0.3454545438842975,0.0621996041667516
AAPL,2020-07-30,2.5054921374736465,0.3333333333333333,0.1448397130721428,0.12547860183480158,0.015601812049371062,30,5,0.3333333317901235,0.0670391061244447
MSFT,2023-01-24,2.3839662828797,0.1,0.19566943341898624,0.0006357112438274953,-0.0011544931522863237,30,5,-0.0540540538105673,0.054599114595524
MSFT,2022-10-25,2.5233337545353267,0.16666666666666666,0.14137932842532944,-0.08229050957447615,-0.0021449686721201084,30,5,0.0499999997916666,0.0568720379012151
