lm_polarity,lm_subjectivity,lm_positive,lm_negative,lm_word_count,vader_compound,vader_pos,vader_neg,ticker,earnings_date
0.1447368411530471,0.04288939050708539,87,65,3544,1.0,0.141,0.014,AMD,2022-08-02
0.32307692142011835,0.04660611853570599,129,66,4184,1.0,0.159,0.01,AMD,2022-05-03
0.2903225790842872,0.04975922952119871,120,66,3738,1.0,0.168,0.013,AMD,2022-02-01
0.26627218777353734,0.04881571344632706,107,62,3462,1.0,0.166,0.014,AMD,2021-10-26
0.3333333312757202,0.048942598172524894,108,54,3310,1.0,0.161,0.012,AMD,2021-07-27
0.2486187831568023,0.046879046866905194,113,68,3861,1.0,0.167,0.013,AMD,2021-04-27
0.3203883479592799,0.05090190263135609,136,70,4047,1.0,0.17,0.016,AMD,2021-01-26
0.2584269655662164,0.08003597120502788,224,132,4448,1.0,0.163,0.031,INTC,2023-01-26
0.2795389040935478,0.07962368056915473,222,125,4358,1.0,0.178,0.03,INTC,2022-10-27
0.30459770027414457,0.07415299380478307,227,121,4693,1.0,0.166,0.026,INTC,2022-07-28
0.3758389249132922,0.06864777699409173,205,93,4341,1.0,0.154,0.026,INTC,2022-04-28
0.4944237899835547,0.06673282062348479,201,68,4031,1.0,0.163,0.018,INTC,2022-01-26
0.5426829251747471,0.07811383660916554,253,75,4199,1.0,0.169,0.024,INTC,2021-10-21
0.28315412084890995,0.07439999998016,179,100,3750,1.0,0.171,0.022,INTC,2021-07-22
0.380597013505235,0.06824547999280736,185,83,3927,1.0,0.157,0.022,INTC,2021-04-22
0.595307916142792,0.08310991955078968,272,69,4103,1.0,0.185,0.021,INTC,2021-01-21
0.2822580633779917,0.06805708011304691,159,89,3644,1.0,0.158,0.033,INTC,2020-10-22
0.18644067717609883,0.06550097139453206,140,96,3603,1.0,0.14,0.033,INTC,2020-07-23
0.08148148117969822,0.06985769726523734,146,124,3865,1.0,0.182,0.028,TSLA,2023-01-25
0.1120689650341855,0.060353798111250315,129,103,3844,1.0,0.165,0.029,TSLA,2022-10-19
-0.03144654078161465,0.07859614432066334,154,164,4046,1.0,0.165,0.032,TSLA,2022-07-20
0.004115226320513472,0.060613619341328605,122,121,4009,1.0,0.169,0.034,TSLA,2022-01-26
-0.030534351028494843,0.06614491288408358,127,135,3961,1.0,0.136,0.026,TSLA,2021-10-20
-0.06923076896449705,0.07138934649330331,121,139,3642,1.0,0.162,0.037,TSLA,2021-07-26
-0.07630522057708747,0.06760792830094817,115,134,3683,1.0,0.143,0.04,TSLA,2021-04-26
0.17110266094637772,0.06671740231691593,154,109,3942,1.0,0.156,0.022,TSLA,2021-01-27
0.27335640043821313,0.07167658728381038,184,105,4032,1.0,0.19,0.027,TSLA,2020-07-22
0.3418803404193148,0.06784575237232654,157,77,3449,1.0,0.162,0.013,NFLX,2023-01-19
0.33971291703486645,0.06371951217569527,140,69,3280,1.0,0.155,0.018,NFLX,2022-10-18
0.21367521276207174,0.06846108833573403,142,92,3418,1.0,0.164,0.011,NFLX,2022-07-19
